"TYPE_CODE","MANUFACTURER","MODEL","ENGINE_TYPE"
"RJ85","AVRO","Avroliner (RJ-85)","Jet"
"RJ1H","AVRO","Avroliner (RJ-100)","Jet"
"A748","AVRO","C-91","Turboprop/Turboshaft"
"LANC","AVRO","Lancaster","Piston"
"RJ70","AVRO","RJ-70 Avroliner","Jet"
"RJ85","AVRO","RJ-85 Avroliner","Jet"
"RJ1H","AVRO","RJ-100 Avroliner","Jet"
"SHAC","AVRO","Shackleton","Piston"
"TUTR","AVRO","Tutor","Piston"
"SS2P","AYRES","Bull Thrush","Piston"
"SS2P","AYRES","S-2R-600 Thrush","Piston"
"SS2T","AYRES","S-2R-G Turbo Thrush","Turboprop/Turboshaft"
"SS2T","AYRES","S-2RHG-T34 Turbo Thrush","Turboprop/Turboshaft"
"SS2T","AYRES","S-2RHG-T65 Turbo Thrush","Turboprop/Turboshaft"
"SS2P","AYRES","S-2R-R3S Thrush","Piston"
"SS2P","AYRES","S-2R-R1340 Thrush","Piston"
"SS2P","AYRES","S-2R-R1820 Bull Thrush","Piston"
"SS2T","AYRES","S-2R-T11 Turbo Thrush","Turboprop/Turboshaft"
"SS2T","AYRES","S-2R-T15 Turbo Thrush","Turboprop/Turboshaft"
"SS2T","AYRES","S-2R-T34 Turbo Thrush","Turboprop/Turboshaft"
"SS2T","AYRES","S-2R-T41 Turbo Thrush","Turboprop/Turboshaft"
"SS2T","AYRES","S-2R-T45 Turbo Thrush","Turboprop/Turboshaft"
"SS2T","AYRES","S-2R-T65 Turbo Thrush","Turboprop/Turboshaft"
"A660","AYRES","S-2R-T660 Turbo Thrush","Turboprop/Turboshaft"
"SS2P","AYRES","Thrush","Piston"
"SS2T","AYRES","Turbo Thrush (S-2R-G/T except T660)","Turboprop/Turboshaft"
"A660","AYRES","Turbo Thrush (S-2R-T660)","Turboprop/Turboshaft"
"SS2T","AYRES","V-1 Vigilante","Turboprop/Turboshaft"
"SS2T","AYRES","Vigilante","Turboprop/Turboshaft"
"FK12","B & F TECHNIK","Comet","Piston"
"FK9","B & F TECHNIK","FK-9","Piston"
"FK12","B & F TECHNIK","FK-12 Comet","Piston"
"FK14","B & F TECHNIK","FK-14 Polaris","Piston"
"FK14","B & F TECHNIK","Polaris","Piston"
"BA11","BAC","111 One-Eleven","Jet"
"JPRO","BAC","145 Jet Provost","Jet"
"CNBR","BAC","Canberra","Jet"
"JPRO","BAC","Jet Provost","Jet"
"LTNG","BAC","Lightning","Jet"
"BA11","BAC","One-Eleven","Jet"
"TOR","BAC","Tornado","Jet"
"STRK","BAC","Strikemaster","Jet"
"STRK","BAC","167 Strikemaster","Jet"
"YK52","BACAU","Yak-52","Piston"
"PA18","BACKCOUNTRY","Super Cub","Piston"
"PA12","BACKCOUNTRY","Super Cruiser","Piston"
"PA18","BACKCOUNTRY","PA-18 Super Cub","Piston"
"PA12","BACKCOUNTRY","PA-12 Super Cruiser","Piston"
"MSQ2","BACKCOUNTRY","Mackey SQ-2","Piston"
"RJ70","BAE SYSTEMS","Avro RJ-70","Jet"
"RJ85","BAE SYSTEMS","Avro RJ-85","Jet"
"RJ1H","BAE SYSTEMS","Avro RJ-100","Jet"
"HAWK","BAE SYSTEMS","CT-155  Hawk","Jet"
"EUFI","BAE SYSTEMS","Eurofighter 2000","Jet"
"HAWK","BAE SYSTEMS","Goshawk","Jet"
"HAWK","BAE SYSTEMS","Hawk","Jet"
"HAWK","BAE SYSTEMS","T-45 Goshawk","Jet"
"EUFI","BAE SYSTEMS","Typhoon","Jet"
"HAWK","BAE SYSTEMS AUSTRALIA","Hawk","Jet"
"DUCE","BAKENG","Duce","Piston"
"BR54","BARNETT","BRC-540","Piston"
"J4B2","BARNETT","J4B2","Piston"
"BAR6","BARR","BarrSix","Piston"
"DC3T","BASLER","BT-67 Turbo 67","Turboprop/Turboshaft"
"DC3T","BASLER","Turbo 67","Turboprop/Turboshaft"
"WH4","BAYLES","Lightning","Turboprop/Turboshaft"
"BD5","BD-MICRO","BD-5B Micro","Piston"
"BD5J","BD-MICRO","BD-5J Micro","Jet"
"BD5T","BD-MICRO","BD-5T Micro","Turboprop/Turboshaft"
"BD5","BD-MICRO","Micro (BD-5B)","Piston"
"BD5J","BD-MICRO","Micro (BD-5J)","Jet"
"BD5T","BD-MICRO","Micro (BD-5T)","Turboprop/Turboshaft"
"V8SP","BEACHNER","Special","Piston"
"V8SP","BEACHNER","V-8 Special","Piston"
"AUS6","BEAGLE","6A","Piston"
"AUS6","BEAGLE","A-61 Terrier","Piston"
"AUS6","BEAGLE","A-61 Tugmaster","Piston"
"AIRD","BEAGLE","A-109 Airedale","Piston"
"AIRD","BEAGLE","Airedale","Piston"
"PUP","BEAGLE","B-121 Pup","Piston"
"BDOG","BEAGLE","B-125 Bulldog","Piston"
"BASS","BEAGLE","B-206","Piston"
"BASS","BEAGLE","Basset","Piston"
"BDOG","BEAGLE","Bulldog","Piston"
"D5","BEAGLE","D-5","Piston"
"D5","BEAGLE","D-5 Husky","Piston"
"D5","BEAGLE","Husky","Piston"
"PUP","BEAGLE","Pup","Piston"
"AUS6","BEAGLE","Terrier","Piston"
"AUS6","BEAGLE","Tugmaster","Piston"
"BASS","BEAGLE","B-206 Basset","Piston"
"AUS6","BEAGLE-AUSTER","6A","Piston"
"AUS6","BEAGLE-AUSTER","A-61 Terrier","Piston"
"AUS6","BEAGLE-AUSTER","A-61 Tugmaster","Piston"
"AIRD","BEAGLE-AUSTER","A-109 Airedale","Piston"
"AIRD","BEAGLE-AUSTER","Airedale","Piston"
"AU11","BEAGLE-AUSTER","Auster AOP11","Piston"
"BASS","BEAGLE-AUSTER","B-206","Piston"
"D4","BEAGLE-AUSTER","D-4","Piston"
"D5","BEAGLE-AUSTER","D-5","Piston"
"D6","BEAGLE-AUSTER","D-6","Piston"
"AU11","BEAGLE-AUSTER","E-3 Auster AOP11","Piston"
"AUS6","BEAGLE-AUSTER","Terrier","Piston"
"AUS6","BEAGLE-AUSTER","Tugmaster","Piston"
"BD4","BEDE","BD-4","Piston"
"BD5","BEDE","BD-5B Micro","Piston"
"BD5","BEDE","BD-5D Micro","Piston"
"BD5","BEDE","BD-5G Micro","Piston"
"BD5J","BEDE","BD-5J Micro","Jet"
"BD5T","BEDE","BD-5TP Micro","Turboprop/Turboshaft"
"BD10","BEDE","BD-10","Jet"
"BD12","BEDE","BD-12","Piston"
"BD17","BEDE","BD-17 Nuggett","Piston"
"BD5","BEDE","Micro (BD-5B/D/G)","Piston"
"BD5J","BEDE","Micro (BD-5J)","Jet"
"BD5T","BEDE","Micro (BD-5TP)","Turboprop/Turboshaft"
"BD17","BEDE","Nuggett","Piston"
"BE17","BEECH","17 Staggerwing","Piston"
"BE18","BEECH","18 (piston)","Piston"
"B18T","BEECH","18 (turbine)","Turboprop/Turboshaft"
"BE19","BEECH","19 Musketeer Sport","Piston"
"BE19","BEECH","19 Sport","Piston"
"BE23","BEECH","23 Musketeer","Piston"
"BE23","BEECH","23 Sundowner","Piston"
"BE24","BEECH","24 Musketeer Super","Piston"
"BE24","BEECH","24 Sierra","Piston"
"BE33","BEECH","33 Bonanza","Piston"
"BE33","BEECH","33 Debonair","Piston"
"BE35","BEECH","35 Bonanza","Piston"
"B36T","BEECH","36 Bonanza (turbine)","Turboprop/Turboshaft"
"T34P","BEECH","45 Mentor","Piston"
"BE50","BEECH","50 Twin Bonanza","Piston"
"BE55","BEECH","55 Baron","Piston"
"BE56","BEECH","56 Turbo Baron","Piston"
"BE58","BEECH","58 Baron","Piston"
"BE60","BEECH","60 Duke","Piston"
"BE65","BEECH","65 Queen Air","Piston"
"BE70","BEECH","70 Queen Air","Piston"
"BE76","BEECH","76 Duchess","Piston"
"BE77","BEECH","77 Skipper","Piston"
"BE80","BEECH","80 Queen Air","Piston"
"BE80","BEECH","80 Zamir","Piston"
"BE88","BEECH","88 Queen Air","Piston"
"U21","BEECH","90 (A90-1) Ute","Turboprop/Turboshaft"
"U21","BEECH","90 (A90-2) Ute","Turboprop/Turboshaft"
"U21","BEECH","90 (A90-3) Ute","Turboprop/Turboshaft"
"U21","BEECH","90 (A90-4) Ute","Turboprop/Turboshaft"
"BE9L","BEECH","90 (A90) King Air","Turboprop/Turboshaft"
"BE9L","BEECH","90 (B90) King Air","Turboprop/Turboshaft"
"BE9L","BEECH","90 (C90) King Air","Turboprop/Turboshaft"
"BE9L","BEECH","90 (D90) King Air","Turboprop/Turboshaft"
"BE9L","BEECH","90 (E90) King Air","Turboprop/Turboshaft"
"BE9T","BEECH","90 (F90) King Air","Turboprop/Turboshaft"
"BE9L","BEECH","90 King Air","Turboprop/Turboshaft"
"BE95","BEECH","95 Travel Air","Piston"
"BE99","BEECH","99 Airliner","Turboprop/Turboshaft"
"BE10","BEECH","100 King Air","Turboprop/Turboshaft"
"BE20","BEECH","200 Super King Air","Turboprop/Turboshaft"
"B350","BEECH","300 (B300) Super King Air 350","Turboprop/Turboshaft"
"BE30","BEECH","300 Super King Air","Turboprop/Turboshaft"
"BE40","BEECH","400 Beechjet","Jet"
"U22","BEECH","1074","Piston"
"U22","BEECH","1079","Piston"
"BE20","BEECH","1300 Commuter","Turboprop/Turboshaft"
"B190","BEECH","1900","Turboprop/Turboshaft"
"STAR","BEECH","2000 Starship","Turboprop/Turboshaft"
"BE99","BEECH","Airliner","Turboprop/Turboshaft"
"BE18","BEECH","AT-7 Navigator","Piston"
"BE18","BEECH","AT-11 Kansan","Piston"
"BE55","BEECH","Baron (55)","Piston"
"BE58","BEECH","Baron (58)","Piston"
"BE33","BEECH","Bonanza (33)","Piston"
"BE35","BEECH","Bonanza (35)","Piston"
"BE36","BEECH","A36 Bonanza 36","Piston"
"BE36","BEECH","A36AT Bonanza 36","Piston"
"B36T","BEECH","Bonanza (36, turbine)","Turboprop/Turboshaft"
"BE20","BEECH","C-12A Huron","Turboprop/Turboshaft"
"BE20","BEECH","C-12C Huron","Turboprop/Turboshaft"
"BE20","BEECH","C-12D Huron","Turboprop/Turboshaft"
"BE20","BEECH","C-12E Huron","Turboprop/Turboshaft"
"BE20","BEECH","C-12F Huron","Turboprop/Turboshaft"
"B190","BEECH","C-12J","Turboprop/Turboshaft"
"BE20","BEECH","C-12L Huron","Turboprop/Turboshaft"
"BE20","BEECH","C-12R Huron","Turboprop/Turboshaft"
"BE18","BEECH","C-45 Expeditor","Piston"
"BE55","BEECH","C-55 Baron","Piston"
"BE55","BEECH","Cochise","Piston"
"BE20","BEECH","Commuter","Turboprop/Turboshaft"
"BE33","BEECH","Debonair","Piston"
"BE76","BEECH","Duchess","Piston"
"BE60","BEECH","Duke","Piston"
"U21","BEECH","EU-21 Ute","Turboprop/Turboshaft"
"BE18","BEECH","Expeditor","Piston"
"BE20","BEECH","FWC-12 Tzufit","Turboprop/Turboshaft"
"BE20","BEECH","Huron","Turboprop/Turboshaft"
"BE40","BEECH","Jayhawk","Jet"
"BE20","BEECH","JC-12 Huron","Turboprop/Turboshaft"
"BE18","BEECH","JRB Expeditor","Piston"
"U21","BEECH","JU-21 Ute","Turboprop/Turboshaft"
"BE18","BEECH","Kansan","Piston"
"BE9L","BEECH","King Air (90, A90 to E90)","Turboprop/Turboshaft"
"BE10","BEECH","King Air (100)","Turboprop/Turboshaft"
"BE9T","BEECH","King Air (F90)","Turboprop/Turboshaft"
"T34P","BEECH","Mentor","Piston"
"BE23","BEECH","Musketeer","Piston"
"BE19","BEECH","Musketeer Sport","Piston"
"BE24","BEECH","Musketeer Super","Piston"
"BE18","BEECH","Navigator","Piston"
"BE20","BEECH","NC-12 Huron","Turboprop/Turboshaft"
"U22","BEECH","QU-22","Piston"
"BE65","BEECH","Queen Air (65)","Piston"
"BE70","BEECH","Queen Air (70)","Piston"
"BE80","BEECH","Queen Air (80)","Piston"
"BE88","BEECH","Queen Air (88)","Piston"
"BE20","BEECH","RC-12 Huron","Turboprop/Turboshaft"
"BE18","BEECH","RC-45 Expeditor","Piston"
"BE50","BEECH","RU-8 Seminole","Piston"
"U21","BEECH","RU-21 Ute","Turboprop/Turboshaft"
"BE50","BEECH","Seminole (U-8D/E/G)","Piston"
"BE65","BEECH","Seminole (U-8F)","Piston"
"BE24","BEECH","Sierra","Piston"
"BE77","BEECH","Skipper","Piston"
"BE18","BEECH","SNB Expeditor","Piston"
"BE19","BEECH","Sport","Piston"
"BE17","BEECH","Staggerwing","Piston"
"STAR","BEECH","Starship","Turboprop/Turboshaft"
"BE23","BEECH","Sundowner","Piston"
"B350","BEECH","Super King Air 350","Turboprop/Turboshaft"
"BE20","BEECH","Super King Air (200)","Turboprop/Turboshaft"
"BE30","BEECH","Super King Air (300)","Turboprop/Turboshaft"
"BE40","BEECH","T-1 Jayhawk","Jet"
"T34P","BEECH","T-34A Mentor","Piston"
"T34P","BEECH","T-34B Mentor","Piston"
"T34T","BEECH","T-34C Turbo Mentor","Turboprop/Turboshaft"
"BE55","BEECH","T-42 Cochise","Piston"
"BE20","BEECH","TC-12 Huron","Turboprop/Turboshaft"
"BE18","BEECH","TC-45 Expeditor","Piston"
"BE95","BEECH","Travel Air","Piston"
"BE17","BEECH","Traveler","Piston"
"BE56","BEECH","Turbo Baron","Piston"
"T34T","BEECH","Turbo Mentor","Turboprop/Turboshaft"
"BE50","BEECH","Twin Bonanza","Piston"
"BE20","BEECH","Tzufit","Turboprop/Turboshaft"
"BE50","BEECH","U-8D Seminole","Piston"
"BE36","BEECH","Bonanza 36","Piston"
"BE50","BEECH","U-8E Seminole","Piston"
"BE65","BEECH","U-8F Seminole","Piston"
"BE50","BEECH","U-8G Seminole","Piston"
"U21","BEECH","U-21A Ute","Turboprop/Turboshaft"
"BE10","BEECH","U-21F Ute","Turboprop/Turboshaft"
"U21","BEECH","U-21G Ute","Turboprop/Turboshaft"
"BE20","BEECH","UC-12 Huron","Turboprop/Turboshaft"
"BE17","BEECH","UC-43 Traveler","Piston"
"BE18","BEECH","UC-45 Expeditor","Piston"
"U21","BEECH","Ute (U-21A/G)","Turboprop/Turboshaft"
"BE10","BEECH","Ute (U-21F)","Turboprop/Turboshaft"
"BE17","BEECH","YC-43 Traveler","Piston"
"BE80","BEECH","Zamir","Piston"
"B60T","BEECH","60 Royal Turbine Duke","Turboprop/Turboshaft"
"B60T","BEECH","Royal Turbine Duke","Turboprop/Turboshaft"
"BE36","BEECH","36 Bonanza 36","Piston"
"BE9L","BEECH","T-44 Pegasus","Turboprop/Turboshaft"
"BE9L","BEECH","Pegasus","Turboprop/Turboshaft"
"BE40","BEECH","400A Beechjet","Jet"
"BE40","BEECH","400T Jayhawk","Jet"
"BE40","BEECH","400T TX","Jet"
"BE40","BEECH","TX","Jet"
"BE40","BEECH","T-400","Jet"
"BE40","BEECH","Beechjet (400/400A)","Jet"
"BE4W","BEECH","Beechjet (400XT/400XPR)","Jet"
"BE4W","BEECH","400XT Beechjet","Jet"
"BE4W","BEECH","400XPR Beechjet","Jet"
"BT36","BEECH","A36TC Bonanza","Piston"
"B58T","BEECH","58P Pressurized Baron","Piston"
"B58T","BEECH","Pressurized Baron","Piston"
"B58T","BEECH","58TC Baron","Piston"
"B58T","BEECH","Baron (58TC)","Piston"
"BT36","BEECH","B36TC Bonanza","Piston"
"BT36","BEECH","Bonanza (A36TC/B36TC)","Piston"
"BE58","BEECHCRAFT","58 Baron","Piston"
"BE58","BEECHCRAFT","Baron","Piston"
"BE9L","BEECHCRAFT","90 King Air 90","Turboprop/Turboshaft"
"BE9L","BEECHCRAFT","King Air 90","Turboprop/Turboshaft"
"BE20","BEECHCRAFT","200 King Air 250","Turboprop/Turboshaft"
"BE20","BEECHCRAFT","King Air 250","Turboprop/Turboshaft"
"B350","BEECHCRAFT","300 (B300) King Air 350","Turboprop/Turboshaft"
"B350","BEECHCRAFT","King Air 350","Turboprop/Turboshaft"
"TEX2","BEECHCRAFT","T-6 Texan 2","Turboprop/Turboshaft"
"TEX2","BEECHCRAFT","AT-6 Texan 2","Turboprop/Turboshaft"
"TEX2","BEECHCRAFT","3000 Texan 2","Turboprop/Turboshaft"
"TEX2","BEECHCRAFT","Texan 2","Turboprop/Turboshaft"
"TEX2","BEECHCRAFT","AT-6 Wolverine","Turboprop/Turboshaft"
"TEX2","BEECHCRAFT","Wolverine","Turboprop/Turboshaft"
"BE36","BEECHCRAFT","Bonanza (G36)","Piston"
"BE36","BEECHCRAFT","G36 Bonanza","Piston"
"BE22","BEECHCRAFT","220 Denali","Turboprop/Turboshaft"
"BE22","BEECHCRAFT","Denali","Turboprop/Turboshaft"
"B350","BEECHCRAFT","King Air 360","Turboprop/Turboshaft"
"B350","BEECHCRAFT","300 (B300) King Air 360","Turboprop/Turboshaft"
"BS60","BEECH-SFERMA","60 Marquis","Turboprop/Turboshaft"
"BS60","BEECH-SFERMA","Marquis","Turboprop/Turboshaft"
"GBSP","BEETS","GB Special","Piston"
"GBSP","BEETS","Special","Piston"
"AD20","BEIJING KEYUAN","AD-200","Piston"
"TVLB","BEL-AIRE","2000","Piston"
"B47G","BELL","47D","Piston"
"B47G","BELL","47G","Piston"
"B47G","BELL","47G Trooper","Piston"
"B47G","BELL","47H","Piston"
"B47J","BELL","47J Ranger","Piston"
"UH1","BELL","204","Turboprop/Turboshaft"
"UH1","BELL","205","Turboprop/Turboshaft"
"B06","BELL","206A JetRanger","Turboprop/Turboshaft"
"B06","BELL","206B JetRanger","Turboprop/Turboshaft"
"B06","BELL","206L LongRanger","Turboprop/Turboshaft"
"B06T","BELL","206LT TwinRanger","Turboprop/Turboshaft"
"HUCO","BELL","209 HueyCobra","Turboprop/Turboshaft"
"SUCO","BELL","209 SuperCobra","Turboprop/Turboshaft"
"UH1","BELL","210","Turboprop/Turboshaft"
"B212","BELL","212","Turboprop/Turboshaft"
"B212","BELL","212 Twin Two-Twelve","Turboprop/Turboshaft"
"B214","BELL","214A Isfahan","Turboprop/Turboshaft"
"B214","BELL","214B","Turboprop/Turboshaft"
"B214","BELL","214C BigLifter","Turboprop/Turboshaft"
"BSTP","BELL","214ST SuperTransport","Turboprop/Turboshaft"
"B222","BELL","222","Turboprop/Turboshaft"
"B230","BELL","230","Turboprop/Turboshaft"
"B06","BELL","406","Turboprop/Turboshaft"
"B06","BELL","406 Combat Scout","Turboprop/Turboshaft"
"B407","BELL","407","Turboprop/Turboshaft"
"B412","BELL","412","Turboprop/Turboshaft"
"B412","BELL","412 Arapaho","Turboprop/Turboshaft"
"B412","BELL","412 Sentinel","Turboprop/Turboshaft"
"B427","BELL","427","Turboprop/Turboshaft"
"B429","BELL","429 GlobalRanger","Turboprop/Turboshaft"
"B430","BELL","430","Turboprop/Turboshaft"
"SUCO","BELL","449 SuperCobra","Turboprop/Turboshaft"
"HUCO","BELL","AH-1E HueyCobra","Turboprop/Turboshaft"
"HUCO","BELL","AH-1F HueyCobra","Turboprop/Turboshaft"
"HUCO","BELL","AH-1P HueyCobra","Turboprop/Turboshaft"
"HUCO","BELL","AH-1S HueyCobra","Turboprop/Turboshaft"
"SUCO","BELL","AH-1W SuperCobra","Turboprop/Turboshaft"
"SUCO","BELL","AH-1Z SuperCobra","Turboprop/Turboshaft"
"P39","BELL","Airacobra","Piston"
"B214","BELL","BigLifter","Turboprop/Turboshaft"
"UH1","BELL","CH-118","Turboprop/Turboshaft"
"B06","BELL","CH-136","Turboprop/Turboshaft"
"B06","BELL","CH-139","Turboprop/Turboshaft"
"B412","BELL","CH-146 Griffon","Turboprop/Turboshaft"
"B06","BELL","COH-58","Turboprop/Turboshaft"
"B06","BELL","Combat Scout","Turboprop/Turboshaft"
"B06","BELL","Creek","Turboprop/Turboshaft"
"UH1","BELL","CUH-1H","Turboprop/Turboshaft"
"UH1","BELL","EH-1 Iroquois","Turboprop/Turboshaft"
"B429","BELL","GlobalRanger","Turboprop/Turboshaft"
"B412","BELL","Griffin","Turboprop/Turboshaft"
"B412","BELL","Griffon","Turboprop/Turboshaft"
"UH1","BELL","HH-1 Iroquois","Turboprop/Turboshaft"
"B412","BELL","Arapaho (412)","Turboprop/Turboshaft"
"B407","BELL","Arapaho (RH-70)","Turboprop/Turboshaft"
"B47J","BELL","HH-13","Piston"
"HUCO","BELL","HueyCobra","Turboprop/Turboshaft"
"UH1","BELL","Iroquois","Turboprop/Turboshaft"
"B214","BELL","Isfahan","Turboprop/Turboshaft"
"B06","BELL","JetRanger","Turboprop/Turboshaft"
"P63","BELL","Kingcobra","Piston"
"B06","BELL","Kiowa","Turboprop/Turboshaft"
"B06","BELL","Kiowa Warrior","Turboprop/Turboshaft"
"B06","BELL","LongRanger","Turboprop/Turboshaft"
"B47G","BELL","OH-13 Sioux","Piston"
"B06","BELL","OH-58 Kiowa","Turboprop/Turboshaft"
"B06","BELL","OH-58 Kiowa Warrior","Turboprop/Turboshaft"
"P39","BELL","P-39 Airacobra","Piston"
"P63","BELL","P-63 Kingcobra","Piston"
"B47J","BELL","Ranger","Piston"
"B06","BELL","SeaRanger","Turboprop/Turboshaft"
"B412","BELL","Sentinel","Turboprop/Turboshaft"
"UH1","BELL","SH-1 Iroquois","Turboprop/Turboshaft"
"B47G","BELL","Sioux","Piston"
"SUCO","BELL","SuperCobra","Turboprop/Turboshaft"
"BSTP","BELL","SuperTransport","Turboprop/Turboshaft"
"HUCO","BELL","TAH-1 HueyCobra","Turboprop/Turboshaft"
"UH1","BELL","TH-1E Iroquois","Turboprop/Turboshaft"
"B407","BELL","ARH-70 Arapaho","Turboprop/Turboshaft"
"B407","BELL","YRH-70 Arapaho","Turboprop/Turboshaft"
"UH1","BELL","TH-1F Iroquois","Turboprop/Turboshaft"
"UH1","BELL","TH-1H Iroquois","Turboprop/Turboshaft"
"UH1","BELL","TH-1L Iroquois","Turboprop/Turboshaft"
"HUCO","BELL","TH-1S HueyCobra","Turboprop/Turboshaft"
"B47J","BELL","TH-13N","Piston"
"B47G","BELL","TH-13T","Piston"
"B06","BELL","TH-57 SeaRanger","Turboprop/Turboshaft"
"B06","BELL","TH-67 Creek","Turboprop/Turboshaft"
"B06","BELL","TH-206","Turboprop/Turboshaft"
"B47G","BELL","Trooper","Piston"
"B212","BELL","Twin Two-Twelve","Turboprop/Turboshaft"
"B06T","BELL","TwinRanger","Turboprop/Turboshaft"
"UH1","BELL","UH-1A Iroquois","Turboprop/Turboshaft"
"UH1","BELL","UH-1B Iroquois","Turboprop/Turboshaft"
"UH1","BELL","UH-1C Iroquois","Turboprop/Turboshaft"
"UH1","BELL","UH-1D Iroquois","Turboprop/Turboshaft"
"UH1","BELL","UH-1E Iroquois","Turboprop/Turboshaft"
"UH1","BELL","UH-1F Iroquois","Turboprop/Turboshaft"
"UH1","BELL","UH-1H Iroquois","Turboprop/Turboshaft"
"UH1","BELL","UH-1L Iroquois","Turboprop/Turboshaft"
"UH1","BELL","UH-1M Iroquois","Turboprop/Turboshaft"
"B212","BELL","UH-1N","Turboprop/Turboshaft"
"UH1","BELL","UH-1V Iroquois","Turboprop/Turboshaft"
"UH1Y","BELL","UH-1Y","Turboprop/Turboshaft"
"B47G","BELL","UH-13H","Piston"
"B47J","BELL","UH-13J","Piston"
"B47J","BELL","UH-13P","Piston"
"B47J","BELL","UH-13R","Piston"
"B212","BELL","VH-1","Turboprop/Turboshaft"
"B06","BELL","VH-4 JetRanger","Turboprop/Turboshaft"
"V280","BELL","V-280 Valor","Turboprop/Turboshaft"
"V280","BELL","Valor","Turboprop/Turboshaft"
"B505","BELL","505 Jet Ranger X","Turboprop/Turboshaft"
"B505","BELL","Jet Ranger X","Turboprop/Turboshaft"
"B525","BELL","525 Relentless","Turboprop/Turboshaft"
"B525","BELL","Relentless","Turboprop/Turboshaft"
"B412","BELL","412 Griffin","Turboprop/Turboshaft"
"A139","BELL-AGUSTA","AB-139","Turboprop/Turboshaft"
"B609","BELL-AGUSTA","BA-609","Turboprop/Turboshaft"
"CH7A","BELLANCA","7ACA Champ","Piston"
"CH7A","BELLANCA","7ECA Citabria","Piston"
"CH7B","BELLANCA","7GCBC Citabria","Piston"
"CH7B","BELLANCA","7KCAB Citabria","Piston"
"BL8","BELLANCA","8 Decathlon","Piston"
"BL8","BELLANCA","8 Scout","Piston"
"B14C","BELLANCA","14 Bellanca 260A","Piston"
"B14C","BELLANCA","14 Bellanca 260B","Piston"
"B14C","BELLANCA","14 Bellanca 260C","Piston"
"B14A","BELLANCA","14 Cruisair","Piston"
"B14A","BELLANCA","14 Cruisair Senior","Piston"
"B14A","BELLANCA","14 Cruisemaster","Piston"
"B14A","BELLANCA","14 Junior","Piston"
"BL17","BELLANCA","17 Super Viking","Piston"
"BL17","BELLANCA","17 Turbo Super Viking","Piston"
"BL17","BELLANCA","17 Turbo Viking","Piston"
"BL17","BELLANCA","17 Viking","Piston"
"BL19","BELLANCA","19 Skyrocket","Piston"
"T250","BELLANCA","Aries","Piston"
"B14C","BELLANCA","Bellanca 260A","Piston"
"B14C","BELLANCA","Bellanca 260B","Piston"
"B14C","BELLANCA","Bellanca 260C","Piston"
"CH7A","BELLANCA","Champ","Piston"
"CH7A","BELLANCA","Citabria (7ECA)","Piston"
"CH7B","BELLANCA","Citabria (7GCBC/7KCAB)","Piston"
"B14A","BELLANCA","Cruisair","Piston"
"B14A","BELLANCA","Cruisair Senior","Piston"
"B14A","BELLANCA","Cruisemaster","Piston"
"BL8","BELLANCA","Decathlon","Piston"
"DW1","BELLANCA","DW-1 Eagle","Piston"
"DW1","BELLANCA","Eagle","Piston"
"B14A","BELLANCA","Junior","Piston"
"BL8","BELLANCA","Scout","Piston"
"BL17","BELLANCA","Super Viking","Piston"
"T250","BELLANCA","T-250 Aries","Piston"
"BL17","BELLANCA","Turbo Super Viking","Piston"
"BL17","BELLANCA","Turbo Viking","Piston"
"BL17","BELLANCA","Viking","Piston"
"PACE","BELLANCA","CH-300 Pacemaker","Piston"
"PACE","BELLANCA","CH-400 Skyrocket","Piston"
"PACE","BELLANCA","D Skyrocket","Piston"
"PACE","BELLANCA","31 Senior Skyrocket","Piston"
"PACE","BELLANCA","Pacemaker","Piston"
"PACE","BELLANCA","Skyrocket (D)","Piston"
"PACE","BELLANCA","Skyrocket (CH-400)","Piston"
"PACE","BELLANCA","Senior Skyrocket","Piston"
"BL19","BELLANCA","Skyrocket (19)","Piston"
"T250","BELLANCA","51","Piston"
"V22","BELL-BOEING","901 Osprey","Turboprop/Turboshaft"
"V22","BELL-BOEING","CV-22 Osprey","Turboprop/Turboshaft"
"V22","BELL-BOEING","MV-22 Osprey","Turboprop/Turboshaft"
"V22","BELL-BOEING","Osprey","Turboprop/Turboshaft"
"V22","BELL-BOEING","V-22 Osprey","Turboprop/Turboshaft"
"PA34","BENGIS","Flamingo 3","Piston"
"PA34","BENGIS","TM-20 Flamingo 3","Piston"
"BER4","BERIEV","A-40 Albatross","Jet"
"A50","BERIEV","A-50","Jet"
"BER4","BERIEV","Albatross","Jet"
"BER2","BERIEV","Altair","Jet"
"BE12","BERIEV","Be-12 Tchaika","Turboprop/Turboshaft"
"BE32","BERIEV","Be-30","Turboprop/Turboshaft"
"BE32","BERIEV","Be-32","Turboprop/Turboshaft"
"B103","BERIEV","Be-103 Bekas","Piston"
"BER2","BERIEV","Be-200 Altair","Jet"
"A50","BERIEV","Be-976","Jet"
"B103","BERIEV","Bekas","Piston"
"SA20","BERIEV","SA-20","Piston"
"BE12","BERIEV","Tchaika","Turboprop/Turboshaft"
"BKUT","BERKUT","Berkut","Piston"
"SKRA","BEST OFF","Sky Ranger","Piston"
"NNJA","BEST OFF","Nynja","Piston"
"SWAT","BHARAT","LT-1 Swati","Piston"
"SWAT","BHARAT","LT-2 Swati","Piston"
"SWAT","BHARAT","Swati","Piston"
"PETR","BILLIE","Pétrel","Piston"
"BISC","BILSAM","Sky Cruiser","Piston"
